B,seed,kappa,delta,alpha,T_eff
64,23,2.5526678562164307,0.4923131465911865,0.7086402881439328,1.5232888561644842e-10
64,24,13.81374454498291,0.48278674483299255,0.7281802449140394,2.4782835339465237e-07
64,25,13.371820449829102,0.4950316548347473,0.7031335692969994,1.1712046443790314e-07
64,26,12.49803352355957,0.4910944998264313,0.7111187057014833,5.273504966041287e-10
64,27,33.57375717163086,0.4918920397758484,0.7094960179183096,3.527664830471622e-06
64,28,26.06679916381836,0.45569908618927,0.7859225860044775,8.277023084701796e-07
64,29,27.489643096923828,0.49332714080810547,0.7065827533868686,9.596809604772716e-07
128,0,31.05628204345703,0.49896174669265747,0.6952258461036935,8.043665644663633e-08
128,1,inf,0.4986989200115204,0.6957527320399419,2.306051400183251e-12
128,2,11.71408748626709,0.4883039593696594,0.716817199469697,1.2161024187662406e-07
128,3,8.548500061035156,0.4643383324146271,0.7671418277805965,9.66326410889451e-07
128,4,12.27175521850586,0.469006210565567,0.7571392684794659,7.700584347958284e-08
128,5,10.349382400512695,0.49960577487945557,0.6939359417914012,9.075575491124255e-08
128,6,18.778310775756836,0.48520174622535706,0.7231905029381782,8.904790793629047e-10
128,7,21.40768814086914,0.49887797236442566,0.6953937574963324,3.0536210715581547e-07
128,8,1.0,0.4982328414916992,0.6966877580302365,4.741610923342243e-11
128,9,8.559820175170898,0.4814170002937317,0.7310214399780695,1.5392764396437997e-08
128,10,13.304830551147461,0.4961094856262207,0.7009586394664291,7.29901827867252e-09
128,11,20.323665618896484,0.4864162504673004,0.7206905392104306,2.185952752142839e-07
128,12,14.942704200744629,0.4957182705402374,0.7017475165750594,4.2417076429046574e-07
128,13,29.390522003173828,0.48492133617401123,0.7237685946550797,1.0918781754298834e-06
128,14,12.219493865966797,0.47098731994628906,0.7529241068858815,3.102608729932399e-07
128,15,70.4285659790039,0.48834365606307983,0.7167359077267694,7.052631190163083e-08
128,16,27.59223175048828,0.4908430278301239,0.7116309012225267,1.6611558795176506e-09
128,17,11.582534790039062,0.49023932218551636,0.7128615944885831,2.7013092207539557e-08
128,18,inf,0.4978926181793213,0.697370851354083,7.933416293695594e-13
128,19,31.892417907714844,0.4887316823005676,0.7159416470538177,5.977003070256615e-08
128,20,8.497923851013184,0.4887942373752594,0.7158136605247282,2.2420131529088394e-08
128,21,4.282675743103027,0.4979437589645386,0.697268142141132,1.7885429248742923e-10
128,22,10.115777969360352,0.486637145280838,0.7202365151696176,2.411286459391704e-07
128,23,inf,0.49456721544265747,0.7040722110843716,2.7445703695838652e-11
128,24,12.001236915588379,0.4971187710762024,0.6989263054272686,3.3493613216251106e-08
128,25,inf,0.49744582176208496,0.6982686292943636,1.223082225776384e-11
128,26,inf,0.4960889220237732,0.7010000900519006,9.272983422792258e-12
128,27,11.698427200317383,0.49574023485183716,0.7017032095032377,2.354478390032e-09
128,28,14.850884437561035,0.4973459839820862,0.6984693502487533,2.573568167463236e-07
128,29,28.3875789642334,0.48558610677719116,0.7223986500720156,4.6448576540569775e-07
256,0,38.797401428222656,0.49531805515289307,0.7025551870886918,2.4234608986262174e-08
256,1,inf,0.49819833040237427,0.6967570274194572,6.333873855089711e-13
256,2,10.91870403289795,0.49435120820999146,0.7045090666043718,1.5641502670860064e-07
256,3,8.290543556213379,0.4969613552093506,0.6992430120266768,3.288759558017773e-07
256,4,7.172841548919678,0.4894748032093048,0.7144222928833046,3.017901661905853e-08
